epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,31908.1,1.00538,0.83675,1.27843,0.7934,0.57489,0.62834,0.49423,0.89329,0.88685,1.22798,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,32321.3,1.00602,0.83117,1.27459,0.79818,0.57065,0.62716,0.49312,0.89406,0.88596,1.22962,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,32734.7,0.98747,0.82327,1.26684,0.80972,0.5703,0.6265,0.49278,0.89577,0.89117,1.23181,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,33147.6,0.98789,0.81796,1.26426,0.8027,0.57092,0.62685,0.49356,0.89686,0.89631,1.23232,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,33560.2,0.98608,0.80569,1.26334,0.80367,0.57014,0.62673,0.49339,0.89679,0.90049,1.23356,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,33973.2,0.9665,0.79928,1.25397,0.81678,0.56328,0.62679,0.49337,0.89697,0.90112,1.23389,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,34386.3,0.96662,0.79406,1.25018,0.79198,0.57378,0.62668,0.49329,0.89851,0.89944,1.23719,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,34799.5,0.9909,0.81152,1.264,0.79423,0.5761,0.62684,0.49209,0.90033,0.89975,1.23919,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
85,35212.6,0.9667,0.7854,1.25277,0.79598,0.57619,0.62622,0.49212,0.90081,0.89883,1.24025,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,35626,0.97265,0.79107,1.25215,0.80363,0.57423,0.62684,0.49104,0.90255,0.9008,1.24247,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,36039.3,0.97325,0.79086,1.24861,0.79489,0.57898,0.62701,0.49121,0.90166,0.90149,1.24169,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
88,36452.8,0.96068,0.77911,1.24172,0.81357,0.57026,0.62694,0.4914,0.90023,0.90459,1.23966,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,36866.7,0.95097,0.76777,1.24304,0.80753,0.57271,0.62575,0.49178,0.89839,0.90438,1.23864,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,37280.4,0.95057,0.7766,1.24671,0.80602,0.57505,0.6256,0.49139,0.89869,0.90553,1.23982,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
91,37695.9,0.84207,0.60305,1.17371,0.79633,0.57668,0.62453,0.49059,0.89843,0.90994,1.24055,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,38111,0.82311,0.58282,1.16379,0.80663,0.56866,0.62371,0.48983,0.89671,0.91114,1.23899,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,38524.6,0.80982,0.57301,1.15791,0.79498,0.57408,0.62365,0.48988,0.8959,0.91622,1.23917,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,38938.4,0.81442,0.57761,1.16262,0.79569,0.57466,0.62343,0.48911,0.89692,0.92022,1.24028,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,39352.5,0.80761,0.56009,1.15247,0.80291,0.57083,0.62342,0.48922,0.89733,0.92303,1.24105,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
96,39764.2,0.80706,0.56556,1.15183,0.80352,0.56903,0.62311,0.48889,0.8994,0.92314,1.24305,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
